hanzi,pinyin,definition,example_sentence,difficulty
商业,shāng yè,business; trade; commerce,...,Hard
上当,shàng dàng,taken in (by sb's deceit); to be fooled; to be duped,...,Hard
蛇,shé,snake; serpent; CL:条[tiao2],...,Hard
舍不得,shě bu de,to hate to do sth; to hate to part with; to begrudge,...,Hard
射击,shè jī,to shoot; to fire (a gun),...,Hard
摄影,shè yǐng,to take a photograph; photography; to shoot (a movie),...,Hard
设备,shè bèi,equipment; facilities; installations; CL:个,...,Hard
设计,shè jì,plan; design; to design; to plan; CL:个,...,Hard
设施,shè shī,facilities; installation,...,Hard
伸,shēn,to stretch; to extend,...,Hard
深刻,shēn kè,profound; deep; deep-going,...,Hard
身材,shēn cái,stature; build (height and weight); figure,...,Hard
身份,shēn fèn,status; capacity; dignity; position; rank; identity,...,Hard
神话,shén huà,fairy tale; mythology; myth,...,Hard
神秘,shén mì,mysterious; mystery,...,Hard
升,shēng,to raise; to hoist; to promote; metric liter (also written 公升); measure for dry grain equal to one-tenth (斗 dǒu),...,Hard
声调,shēng diào,tone; note; a tone (on a Chinese syllable); CL:个,...,Hard
生产,shēng chǎn,to give birth to a child; parturition; to produce; manufacture,...,Hard
生动,shēng dòng,vivid; lively,...,Hard
生长,shēng zhǎng ,to grow,...,Hard
绳子,shéng zi,rope; string; cord; CL:条[tiao2],...,Hard
省略,shěng lüè,to leave out; omission,...,Hard
胜利,shèng lì,victory; CL:个,...,Hard
失眠,shī mián,(suffer from) insomnia,...,Hard
失去,shī qù,to lose,...,Hard
失业,shī yè,unemployment,...,Hard
湿润,shī rùn,moist,...,Hard
狮子,shī zi,lion,...,Hard
诗,shī,poem; poetry; verse; abbr. for Book of Songs 诗经[shi1 jing1]; CL:首[shou3],...,Hard
实话,shí huà,truth,...,Hard
实践,shí jiàn,to practice; to put into practice; to fulfill,...,Hard
实习,shí xí,to practice; field work,...,Hard
实现,shí xiàn,to achieve; to implement; to realize; to bring about,...,Hard
实验,shí yàn,"to experiment; experiments; CL:个,次[ci4]",...,Hard
实用,shí yòng,practical; functional; pragmatic; applied (science),...,Hard
时差,shí chā,jet lag; time lag; jet lag,...,Hard
时代,shí dài,age; era; epoch; period; CL:个,...,Hard
时刻,shí kè,moment; constantly; always; CL:个,...,Hard
时髦,shí máo,in vogue; fashionable,...,Hard
时期,shí qī,a period in time or history; period; time (interval); phase; CL:个,...,Hard
时尚,shí shàng,fashion,...,Hard
石头,shí tou,stone; CL:块[kuai4],...,Hard
食物,shí wù,food; CL:种[zhong3],...,Hard
使劲儿,shǐ jìn r,to exert all one's strength,...,Hard
始终,shǐ zhōng,from beginning to end; all along,...,Hard
事实,shì shí,a fact; the fact that; CL:个,事实证明，你是对的。,Hard
事物,shì wù,thing; object; CL:个,...,Hard
事先,shì xiān,in advance; before the event; beforehand; prior,...,Hard
似的,shì de,seems as if; rather like;,...,Hard
士兵,shì bīng,soldier; CL:个,...,Hard
市场,shì chǎng,market place; market (also in abstract); abbr. for 超级市场 supermarket; CL:个,...,Hard
试卷,shì juàn,"examination paper; test paper; CL:份[fen4] ,张[zhang1]",...,Hard
收获,shōu huò,harvest; results; gains,...,Hard
收据,shōu jù,receipt; CL:张[zhang1],...,Hard
手工,shǒu gōng,handwork; manual,...,Hard
手术,shǒu shù,surgical operation; operation; surgery; CL:个,...,Hard
手套,shǒu tào,"glove; mitten; CL:双[shuang1] ,只[zhi1]",...,Hard
手续,shǒu xù,"formalities; procedures; CL:道[dao4] ,个",...,Hard
手指,shǒu zhǐ,"finger; CL:个,只[zhi1]",...,Hard
首,shǒu ,"head; chief; first (occasion, thing etc); classifier for poems and songs ",...,Hard
受伤,shòu shāng,to sustain injuries; wounded (in an accident etc); harmed,...,Hard
寿命,shòu mìng,life span; life expectancy,...,Hard
书架,shū jià,bookshelf; CL:个,...,Hard
梳子,shū zi,comb; CL:把[ba3],...,Hard
舒适,shū shì,cozy; snug; comfortable,...,Hard
蔬菜,shū cài,vegetables; produce; CL:种[zhong3],...,Hard
输入,shū rù,to import; to input,...,Hard
熟练,shú liàn,practiced; proficient; skilled; skillful,...,Hard
属于,shǔ yú,classified as; to belong to; to be part of,...,Hard
数,shǔ,number; figure; several; a few,这几个月来，顾客的数量在不断增加。,Hard
鼠标,shǔ biāo,mouse (computing),...,Hard
数据,shù jù,data; numbers; digital,...,Hard
数码,shù mǎ,numeral; figures; digital; amount; numerical code,...,Hard
摔倒,shuāi dǎo ,to fall down; to slip and fall; to throw sb to the ground; ,...,Hard
甩,shuǎi,to throw; to fling; to swing; to leave behind; to throw off,...,Hard
双方,shuāng fāng,bilateral; both sides; both parties involved,...,Hard
税,shuì,taxes; duties,...,Hard
说不定,shuō bu dìng,can't say for sure; maybe,...,Hard
说服,shuō fú,to persuade; to convince; to talk sb over,...,Hard
丝绸,sī chóu,silk cloth; silk,...,Hard
丝毫,sī háo,the slightest amount or degree; a bit,...,Hard
思考,sī kǎo,to reflect on; to ponder over,...,Hard
思想,sī xiǎng,thought; thinking; idea; ideology; CL:个,语言是表达思想的工具。,Hard
撕,sī,to tear; to rip,...,Hard
私人,sī rén,private (citizen); private,...,Hard
似乎,sì hū,apparently; to seem; to appear; as if; seemingly,...,Hard
搜索,sōu suǒ,to search; to look for sth; to scour (search meticulously); to look sth up; internet search; database search,...,Hard
宿舍,sù shè,dormitory; dorm room; living quarters; hostel; CL:间[jian1],...,Hard
随身,suí shēn,to (carry) on one's person; to (take) with one,...,Hard
随时,suí shí,at any time,有什么问题可以随时联系我。,Hard
随手,suí shǒu,conveniently; without extra trouble; while doing it; in passing,...,Hard
碎,suì,to break down; to break into pieces; fragmentary,...,Hard
损失,sǔn shī,loss; damage; CL:个; to lose; to damage,...,Hard
缩短,suō duǎn,to curtail; to cut down,...,Hard
所,suǒ,"place; location; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:个",他应聘到这所大学教书。,Hard
锁,suǒ,to lock up; to lock; CL:把[ba3],...,Hard
台阶,tái jiē,flight of steps (leading up to a house); step (over obstacle); bench; fig. way out of an embarrassing situation,...,Hard
太极拳,tài jí quán,"shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art",...,Hard
太太,tài tai,"married woman; Mrs.; Madam; wife; CL:个,位[wei4]",...,Hard
谈判,tán pàn,to negotiate; negotiation; talks; conference; CL:个,...,Hard
坦率,tǎn shuài,frank (discussion); blunt; open,...,Hard
烫,tàng,to scald; to burn; to iron; hot,...,Hard
桃,táo,peach,...,Hard
淘气,táo qì,naughty; bad,...,Hard
逃,táo,to escape; to run away; to flee,...,Hard
逃避,táo bì,to evade; to avoid; to shirk; to escape; ,...,Hard
讨价还价,tǎo jià huán jià,haggle over price,...,Hard
套,tào,"cover; sheath; to encase; a case ; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ)",...,Hard
特色,tè sè,characteristic; distinguishing feature or quality,...,Hard
特殊,tè shū,special; particular; unusual; extraordinary,...,Hard
特征,tè zhēng,distinctive feature; characteristic; diagnostic property; trait,...,Hard
疼爱,téng ài,to love dearly,...,Hard
提倡,tí chàng,to promote; to advocate,...,Hard
提纲,tí gāng,outline; synopsis,...,Hard
提问,tí wèn,to question; to quiz; to grill,...,Hard
题目,tí mù,subject; title; topic; CL:个,...,Hard
体会,tǐ huì,to know (through learning or by experience); to realize; experience; CL:个,...,Hard
体贴,tǐ tiē,considerate (of other people's needs),...,Hard
体现,tǐ xiàn,to embody; to reflect; to incarnate,...,Hard
体验,tǐ yàn,to experience for oneself,...,Hard
天空,tiān kōng,sky,...,Hard
天真,tiān zhēn,naive; innocent; artless,...,Hard
调皮,tiáo pí,naughty; mischievous; unruly,...,Hard
调整,tiáo zhěng,adjustment; revision; CL:个,...,Hard
挑战,tiǎo zhàn,challenge,...,Hard
通常,tōng cháng,usual; regular; ordinary; normal,...,Hard
统一,tǒng yī,to unify; to unite; to integrate; unified,...,Hard
痛苦,tòng kǔ,pain; suffering; painful; CL:个,...,Hard
痛快,tòng kuài,overjoyed; delighted; happily; heartily; enjoying; also pr. tong4 kuai5,...,Hard
偷,tōu ,to steal; to pilfer; to snatch; thief; stealthily; ,...,Hard
投入,tóu rù ,to participate in; to invest in; to throw into; to put into; absorbed; engrossed; ,...,Hard
投资,tóu zī,investment; to invest,...,Hard
透明,tòu míng,transparent; open (non-secretive),...,Hard
突出,tū chū,prominent; outstanding; to give prominence to; to protrude; to project,...,Hard
土地,tǔ dì,territory; land; soil; local god; Lar; genius loci; CL:片[pian4],...,Hard
土豆,tǔ dòu,potato; CL:个,...,Hard
兔子,tù zi,hare; rabbit; CL:只[zhi1],...,Hard
吐,tù,to vomit; to throw up,...,Hard
团,tuán,round; circular; group; society; regiment,...,Hard
推辞,tuī cí,"to decline (an appointment, invitation etc)",...,Hard
推广,tuī guǎng,to extend; to spread; to popularize; CL:个,...,Hard
推荐,tuī jiàn,to recommend; recommendation,...,Hard
退,tuì,to move back; to decline; to move back; to withdraw,...,Hard
退步,tuì bù,degenerate; regress,...,Hard
退休,tuì xiū,retirement (from work),...,Hard
歪,wāi,askew; at a crooked angle; devious; noxious,...,Hard
外公,wài gōng ,(coll.) mother's father; maternal grandfather; ,...,Hard
外交,wài jiāo,diplomacy; diplomatic; foreign affairs; CL:个,...,Hard
完美,wán měi,perfection; perfect; perfectly,...,Hard
完善,wán shàn,to perfect; to make perfect; to improve,...,Hard
完整,wán zhěng,intact; complete,...,Hard
玩具,wán jù,plaything; toy,...,Hard
万一,wàn yī,just in case; if by any chance; contingency,...,Hard
王子,wáng zǐ,prince; son of a king,...,Hard
往返,wǎng fǎn,to go back and forth; to go to and fro,...,Hard
网络,wǎng luò,"Internet; network (computing, telecommunications, transport etc)",...,Hard
危害,wēi hài,to jeopardize; to harm; to endanger; CL:个,...,Hard
威胁,wēi xié,to threaten; to menace,...,Hard
微笑,wēi xiào,smile; CL:个,...,Hard
唯一,wéi yī,sole; only,...,Hard
围巾,wéi jīn,scarf; shawl; CL:条[tiao2],...,Hard
围绕,wéi rào,to revolve around; to center on (an issue),...,Hard
维修,wéi xiū,maintenance (of equipment); to protect and maintain,...,Hard
违反,wéi fǎn,to violate (a law),...,Hard
伟大,wěi dà,huge; great; mighty; large,...,Hard
委屈,wěi qū,to feel wronged; to nurse a grievance; to cause sb to feel wronged,...,Hard
尾巴,wěi ba,tail,...,Hard
位于,wèi yú,to be located at; to be situated at; to lie,...,Hard
位置,wèi zhi,position; place; seat; CL:个,...,Hard
未必,wèi bì,not necessarily; maybe not,...,Hard
未来,wèi lái,future; tomorrow; approaching; coming; pending; CL:个,...,Hard
胃,wèi,stomach; CL:个,...,Hard
胃口,wèi kǒu,appetite,...,Hard
温暖,wēn nuǎn,warm,...,Hard
温柔,wēn róu,gentle and soft; tender,...,Hard
文件,wén jiàn,document; file; CL:份[fen4],...,Hard
文具,wén jù,"stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)",...,Hard
文明,wén míng,civilized; civilization; culture; CL:个,...,Hard
文学,wén xué,literature; CL:种[zhong3],...,Hard
文字,wén zì ,writing style; script; writing; written language; phraseology; CL:個|个[ge4]; ,...,Hard
闻,wén,to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; surname Wen,...,Hard
吻,wěn,to kiss; kiss; mouth,...,Hard
稳定,wěn dìng,steady; stable; stability; to stabilize; to pacify,...,Hard
问候,wèn hòu,to give one's respects; to send a greeting,...,Hard
卧室,wò shì,bedroom; CL:间[jian1],...,Hard
握手,wò shǒu,to shake hands,...,Hard
屋子,wū zi,house; room; CL:间[jian1],...,Hard
无奈,wú nài,unfortunately; cannot help but; helpless; without choice; for lack of better option; grudgingly; willy-nilly; nolens volens; abbr. for 無可奈无可奈何[wu2 ke3 nai4 he2],...,Hard
无数,wú shù,countless; numberless; innumerable,...,Hard
无所谓,wú suǒ wèi ,not to matter; to be indifferent; cannot be said to be; ,...,Hard
武术,wǔ shù,martial art; military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫; CL:种[zhong3],...,Hard
勿,wù,do not,...,Hard
物理,wù lǐ,physics; physical,...,Hard
物质,wù zhì,matter; substance; material; materialistic; CL:个,...,Hard
雾,wù,"fog; mist; CL:场[chang2] ,阵[zhen4]",...,Hard
吸取,xī qǔ,"to absorb; to draw (a lesson, insight etc); to assimilate",...,Hard
吸收,xī shōu,to absorb; to assimilate; to ingest,...,Hard
戏剧,xì jù,drama; play; theater,...,Hard
系,xì,relation; to connect; to relate to; to tie up; to bind; department,甲：对不起。乙：没关系。,Hard
系统,xì tǒng,system; CL:个,...,Hard
细节,xì jié,details; particulars,...,Hard
瞎,xiā,blind; groundlessly; foolishly; to no purpose,...,Hard
下载,xià zǎi,to download,...,Hard
吓,xià,to frighten; to scare; to intimidate; to threaten,...,Hard
夏令营,xià lìng yíng,summer camp,...,Hard
鲜艳,xiān yàn,bright-colored; gaily-colored,...,Hard
显得,xiǎn de,to seem; to look; to appear,...,Hard
显然,xiǎn rán,evident; clear; obvious(ly),...,Hard
显示,xiǎn shì,to show; to demonstrate; to illustrate; to display; to demonstrate,...,Hard
县,xiàn,county; PRC administrative division below prefecture 地地区[di4 qu4]; CL:个,...,Hard
现代,xiàn dài,modern times; modern age; modern era,...,Hard
现实,xiàn shí,reality; actuality; real; actual; CL:个,...,Hard
现象,xiàn xiàng,appearance; phenomenon; CL:个,...,Hard
限制,xiàn zhì,to restrict; to limit; to confine; restriction; limit; CL:个,...,Hard
相处,xiāng chǔ,get along with each other,...,Hard
相当,xiāng dāng,equivalent to; appropriate; considerably; to a certain extent; fairly,...,Hard
相对,xiāng duì,relatively; opposite; to resist; to oppose; relative; vis-a-vis,...,Hard
相关,xiāng guān,interrelated; correlation; dependence; relevance; mutuality,...,Hard
相似,xiāng sì,to resemble; similar; like; resemblance; similarity,...,Hard
香肠,xiāng cháng ,sausage; CL:根[gen1]; ,...,Hard
享受,xiǎng shòu,to enjoy; to live it up; pleasure; CL:种[zhong3],...,Hard
想念,xiǎng niàn,to miss; remember with longing; long to see again,...,Hard
想象,xiǎng xiàng,to imagine; to fancy; CL:个,...,Hard
象棋,xiàng qí,Chinese chess; CL:副[fu4],...,Hard
象征,xiàng zhēng,emblem; symbol; token; badge; to symbolize; to signify; to stand for,...,Hard
项,xiàng,"back of neck; thing; item; classifier for principles, items, clauses, tasks, research projects",...,Hard
项链,xiàng liàn,necklace,...,Hard
项目,xiàng mù,item; project; sports event; CL:个,...,Hard
消费,xiāo fèi,to consume; CL:个,...,Hard
消化,xiāo huà,digest; digestion; digestive,...,Hard
消极,xiāo jí,negative; passive; inactive,...,Hard
消失,xiāo shī,to disappear; to fade away,...,Hard
销售,xiāo shòu,to sell; to market; sales,...,Hard
小麦,xiǎo mài,wheat; CL:粒[li4],...,Hard
小气,xiǎo qi,stingy; petty; miserly; narrow-minded,...,Hard
孝顺,xiào shun,to be obedient to one's parents,...,Hard
效率,xiào lv4,efficiency,...,Hard
歇,xiē,to take a break; to rest; to stop,...,Hard
斜,xié,inclined; slanting; oblique; tilting,...,Hard
写作,xiě zuò,writing; written works,...,Hard
心理,xīn lǐ,mental; psychological,...,Hard
心脏,xīn zàng,"heart (lit. and fig.); CL:颗[ke1] ,个",...,Hard
欣赏,xīn shǎng,to appreciate; to enjoy; to admire,...,Hard
信号,xìn hào,signal,...,Hard
信任,xìn rèn,to trust; to have confidence in,这个人很实在，值得信任。,Hard
形成,xíng chéng,to form; to take shape,...,Hard
形容,xíng róng,to describe; description; appearance; look,...,Hard
形势,xíng shì,circumstances; situation; terrain (topography); CL:个,...,Hard
形式,xíng shì,shape; outer appearance; form; CL:个,内容是最主要的，其次才是形式。,Hard
形象,xíng xiàng,image; form; figure; visualization; vivid; CL:个,...,Hard
形状,xíng zhuàng,form; shape; CL:个,...,Hard
行动,xíng dòng,action; to move; operation; mobile; CL:个,...,Hard
行人,xíng rén,pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor,...,Hard
行为,xíng wéi,behavior; conduct; activity; action,...,Hard
幸亏,xìng kuī,fortunately; luckily,...,Hard
幸运,xìng yùn,fortunate; fortune; luck,...,Hard
性质,xìng zhì,nature; characteristic; CL:个,...,Hard
兄弟,xiōng dì,older and younger brother; brothers; brotherly; fraternal; CL:个,...,Hard
胸,xiōng,chest; bosom; heart; mind; thorax,...,Hard
休闲,xiū xián,leisure; relaxation; not working; idle,...,Hard
修改,xiū gǎi,to amend; to alter; to modify,...,Hard
虚心,xū xīn,modest; open-minded,...,Hard
叙述,xù shù,to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account,...,Hard
宣布,xuān bù,to declare; to announce; to proclaim,...,Hard
宣传,xuān chuán,to disseminate; to give publicity to; propaganda; CL:个,...,Hard
学历,xué lì,educational background; academic qualifications,...,Hard
学术,xué shù,learning; science; academic; CL:个,...,Hard
学问,xué wèn,learning; knowledge; academic; CL:个,...,Hard
血,xuè,"blood; CL:滴[di1] ,片[pian4]",...,Hard
寻找,xún zhǎo,to seek; to look for,...,Hard
询问,xún wèn,to inquire,...,Hard
训练,xùn liàn,to train; to drill; training; CL:个,...,Hard
迅速,xùn sù,rapid; speedy; fast,...,Hard
押金,yā jīn,deposit; cash pledge,...,Hard
牙齿,yá chǐ ,tooth; dental; CL:顆|颗[ke1]; ,...,Hard
严肃,yán sù,solemn; solemnity,...,Hard
延长,yán cháng,to prolong; to extend; to delay,...,Hard
演讲,yǎn jiǎng,lecture; to make a speech,...,Hard
宴会,yàn huì,"banquet; feast; dinner party; CL:席[xi2] ,个",...,Hard
阳台,yáng tái,balcony; porch,...,Hard
痒,yǎng,to itch; to tickle,...,Hard
样式,yàng shì,type; style,...,Hard
腰,yāo,waist; lower back; pocket; middle; loins,...,Hard
摇,yáo,to shake; to rock; to row; to crank,...,Hard
咬,yǎo,to bite; to nip,...,Hard
要不,yào bù,"otherwise; or; or else; how about...? (one choice or the other); either this, or else...",...,Hard
业务,yè wù,vocational work; professionnal work; business CL:个,...,Hard
业余,yè yú,in one's spare time; outside working hours; amateur; non professional; extra-curricular,...,Hard
夜,yè,night; evening,我昨天夜里 3 点就醒了，然后就再也睡不着,Hard
依然,yī rán,as before; still,...,Hard
一辈子,yí bèi zi,(for) a lifetime,...,Hard
一旦,yí dàn,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",...,Hard
一律,yí lv4,uniformly; same; all; without exception,...,Hard
一再,yí zài,repeatedly,...,Hard
一致,yí zhì,unanimous; identical (views or opinions),...,Hard
疑问,yí wèn,a question; something not understood; to query; interrogative (gramm.); CL:个,...,Hard
移动,yí dòng,to move; movement; migration; mobile; portable,...,Hard
移民,yí mín,to immigrate; to migrate; emigrant; immigrant,...,Hard
遗憾,yí hàn,to regret; regret; pity; sorry,...,Hard
乙,yǐ,"second in order; second of 10 heavenly stems 十天干; letter 'B' or roman 'II' in list 'A, B, C', or 'I, II, III' etc; second party (in legal contract, usually 乙方[yi3 fang1] , as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)",甲：我们一起去看电影，好吗？乙：行，没,Hard
以及,yǐ jí,as well as; too; and,...,Hard
以来,yǐ lái,since (a previous event),...,Hard
义务,yì wù,duty; obligation; commitment; volunteer duty; mandatory; voluntary; CL:项[xiang4],...,Hard
亿,yì,"a hundred million; 100,000,000; many",...,Hard
意外,yì wài,unexpected; accident; mishap; CL:个,...,Hard
意义,yì yì,meaning; significance; CL:个,...,Hard
议论,yì lùn,to comment; to talk about; to discuss; discussion; CL:个,...,Hard
因而,yīn ér,"therefore; as a result; thus; and as a result,...",...,Hard
因素,yīn sù,element; factor; CL:个,...,Hard
银,yín,silver; silver-colored; relating to money or currency,...,Hard
印刷,yìn shuā,to print; printing,...,Hard
英俊,yīng jùn,handsome; brilliant; smart,...,Hard
英雄,yīng xióng,hero; heroic; CL:个,...,Hard
营养,yíng yǎng,nutrition; nourishment; CL:种[zhong3],...,Hard
营业,yíng yè,to do business; to trade,...,Hard
迎接,yíng jiē,to meet; to welcome; to greet,...,Hard
影子,yǐng zi,shadow; reflection; indication; influence; CL:个,...,Hard
应付,yìng fu,to deal with; to cope,...,Hard
应用,yìng yòng,to use; to apply; application; applicable,...,Hard
硬,yìng,hard; able (person); stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person),...,Hard
硬件,yìng jiàn,hardware,...,Hard
拥抱,yōng bào,to embrace; to hug; to hold in one's arms,...,Hard
拥挤,yōng jǐ,to be crowded; to throng; to push and squeeze; congestion,...,Hard
勇气,yǒng qì,courage; valor; (to have) the nerve,...,Hard
用功,yòng gōng,to study hard; industrious (in one's studies); to make great effort; diligent,...,Hard
用途,yòng tú,use; application,...,Hard
优惠,yōu huì,preferential; favorable,...,Hard
优美,yōu měi,graceful; fine; elegant,...,Hard
优势,yōu shì,superiority; dominance; advantage,...,Hard
悠久,yōu jiǔ,"established; long (about culture, tradtition, history)",...,Hard
油炸,yóu zhá,to deep fry,...,Hard
游览,yóu lǎn,to go sight-seeing; to tour; to visit; CL:次[ci4],...,Hard
犹豫,yóu yù,to hesitate,...,Hard
有利,yǒu lì,advantageous; to have advantages; favorable,...,Hard
幼儿园,yòu ér yuán,kindergarten; nursery school,...,Hard
娱乐,yú lè,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,...,Hard
与其,yǔ qí,"rather than...; 與与其 A 不如 B (rather than A, better to B)",...,Hard
语气,yǔ qì,tone; manner of speaking; mood; CL:个,...,Hard
玉米,yù mǐ,corn; maize; CL:粒[li4],...,Hard
预报,yù bào,forecast,...,Hard
预订,yù dìng,to place an order; to book ahead,...,Hard
预防,yù fáng,to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic,...,Hard
元旦,yuán dàn,New Year's Day,...,Hard
原料,yuán liào,raw material; CL:个,...,Hard
原则,yuán zé,principle; doctrine; CL:个,...,Hard
员工,yuán gōng ,staff; personnel; employee; ,...,Hard
圆,yuán,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify,今晚的月亮真圆！,Hard
愿望,yuàn wàng,wish ; desire; CL:个,...,Hard
乐器,yuè qì ,musical instrument; CL:件[jian4]; ,...,Hard
晕,yūn,confused; dizzy; giddy; faint; swoon; to lose consciousness; to pass out,...,Hard
运气,yùn qi,luck (good or bad),...,Hard
运输,yùn shū,transport; haulage; transit; CL:个,...,Hard
运用,yùn yòng,to use; to put to use,...,Hard
灾害,zāi hài,disastrous damage; scourge; CL:个,...,Hard
再三,zài sān,over and over again; again and again,...,Hard
在乎,zài hu,to care about; to mind; determined by,...,Hard
在于,zài yú ,to be in; to lie in; to consist in; to depend on; to rest with; ,...,Hard
赞成,zàn chéng,to approve; to endorse,...,Hard
赞美,zàn měi,to admire; to applause; to praise; to eulogize,...,Hard
糟糕,zāo gāo,too bad; how terrible; what bad luck; terrible; bad,...,Hard
造成,zào chéng,to bring about; to create; to cause,...,Hard
则,zé,thus; then; standard; norm; rule; to imitate; to follow; principle; classifier for written items (such as an official statement); conjunction used to express contrast with a previous sentence or clause (like 'thus'); ,...,Hard
责备,zé bèi,to blame; to criticize,...,Hard
摘,zhāi,"to borrow; to take; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)",...,Hard
窄,zhǎi,narrow; narrow-minded; badly off,...,Hard
粘贴,zhān tiē,"to stick; to affix; to adhere; to paste (as in cut, copy and paste)",...,Hard
展开,zhǎn kāi,to unfold; to carry out; to be in full swing; to launch,...,Hard
展览,zhǎn lǎn,"to put on display; to exhibit; exhibition; show; CL:个,次[ci4]",...,Hard
占,zhàn ,to take possession of; to occupy; to take up; ,...,Hard
战争,zhàn zhēng,"war; warfare; conflict; CL:场[chang2] ,次[ci4]",...,Hard
掌握,zhǎng wò,"to grasp (often fig.); to control; to master; to know well; to understand sth well and know how to use it; fluency; to seize (initiative, opportunity, destiny)",...,Hard
涨,zhǎng,"to rise (of prices, rivers)",...,Hard
长辈,zhǎng bèi,one's elders; older generation,...,Hard
账户,zhàng hù,account (bank or online),...,Hard
招待,zhāo dài,to receive (guests); to entertain; reception,...,Hard
着火,zháo huǒ ,to ignite; to burn,在森林里吸烟很危险，容易着火。,Hard
着凉,zháo liáng,to catch cold,...,Hard
召开,zhào kāi,to convene (a conference or meeting) ／ to convoke; to convoke; to call together,...,Hard
照常,zhào cháng,(business etc) as usual,...,Hard
哲学,zhé xué,philosophy; CL:个,...,Hard
珍惜,zhēn xī,to cherish; to value; to treasure,...,Hard
真实,zhēn shí,true; real,...,Hard
针对,zhēn duì,to be directed against; to be aimed at; to counter; in the light of; in connection with,...,Hard
诊断,zhěn duàn,diagnosis; to diagnose,...,Hard
振动,zhèn dòng,vibration,...,Hard
阵,zhèn,disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration,...,Hard
争论,zhēng lùn,"to argue; to debate; to contend; argument; contention; controversy; debate; CL:次[ci4] ,场[chang3]",...,Hard
争取,zhēng qǔ,to fight for; to strive for; to win over,...,Hard
征求,zhēng qiú,"to solicit; to seek; to request (opinions, feedback etc); to petition",...,Hard
挣,zhēng ,to struggle to get free; to strive to acquire; to make (money); ,...,Hard
睁,zhēng,to open (eye),...,Hard
整个,zhěng gè,whole; entire; total,...,Hard
整齐,zhěng qí,orderly; neat; even; tidy,...,Hard
整体,zhěng tǐ,"whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole",...,Hard
政府,zhèng fǔ,government; CL:个,...,Hard
政治,zhèng zhì,politics; political,...,Hard
正,zhèng,upright; centrally located; (of time or figure) exactly; precisely; correct; positive (maths); (of taste) pure,客厅正面的墙上，正中挂着父的画像。,Hard
证件,zhèng jiàn,certificate; credentials,...,Hard
证据,zhèng jù,evidence; proof; testimony,...,Hard
支,zhī,"to prop up; to bear; to send away; to pay or draw money; to support; to sustain; to erect; to raise; branch; division; surname Zhi; classifier for rods such as pens and guns, for army divisions and for songs or compositions; watt, classifier for power of light bulbs",...,Hard
支票,zhī piào,check (bank); cheque; CL:本[ben3],...,Hard
执照,zhí zhào,license; permit,...,Hard
直,zhí,directly; straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters,...,Hard
指导,zhǐ dǎo,to guide; to give directions; to direct; to coach; guidance; tuition; CL:个,...,Hard
指挥,zhǐ huī,commander; to command; to conduct; to direct; director; conductor (of an orchestra); CL:个,...,Hard
制定,zhì dìng,to draw up; to formulate; to lay down; to draft,...,Hard
制度,zhì dù,"system (e.g. political, administrative etc); institution; CL:个",...,Hard
制造,zhì zào,to engineer; to create; to manufacture; to make,...,Hard
制作,zhì zuò,to make; to manufacture,...,Hard
志愿者,zhì yuàn zhě,volunteer,...,Hard
智慧,zhì huì,wisdom; knowledge; intelligent; intelligence,...,Hard
治疗,zhì liáo,to treat; to cure; medical treatment; cure,...,Hard
秩序,zhì xù,"order (orderly, sequence, social); the state (of society); CL:个",...,Hard
至今,zhì jīn,until now; so far; to this day,...,Hard
至于,zhì yú,as for; as to; to go so far as to,...,Hard
中介,zhōng jiè,to act as intermediary; to link; intermediate; inter-; agency; agent,...,Hard
中心,zhōng xīn,center; heart (fig.); core; CL:个,我住在郊区，开车半个小时就能到市中心。,Hard
中旬,zhōng xún,middle third of a month,...,Hard
种类,zhǒng lèi ,kind; genus; type; category; variety; species; sort; class; ,...,Hard
重大,zhòng dà ,important; great; major; significant; ,...,Hard
重量,zhòng liàng,weight; CL:个,...,Hard
周到,zhōu dao,thoughtful; considerate; attentive; thorough,...,Hard
